Date,Open,High,Low,Close,Company,Ticker
2025-03-18 00:00:00+05:30,3497.699951171875,3497.699951171875,3497.699951171875,3497.699951171875,Tata Consultancy Services,TCS.NS
2025-03-19 00:00:00+05:30,3547.0,3547.0,3462.75,3497.10009765625,Tata Consultancy Services,TCS.NS
2025-03-20 00:00:00+05:30,3512.0,3578.949951171875,3512.0,3563.14990234375,Tata Consultancy Services,TCS.NS
2025-03-21 00:00:00+05:30,3475.0,3616.25,3465.0,3578.10009765625,Tata Consultancy Services,TCS.NS
2025-03-24 00:00:00+05:30,3600.0,3649.75,3566.60009765625,3628.949951171875,Tata Consultancy Services,TCS.NS
2025-03-25 00:00:00+05:30,3645.0,3710.0,3638.0,3657.75,Tata Consultancy Services,TCS.NS
2025-03-26 00:00:00+05:30,3647.75,3680.5,3625.85009765625,3635.800048828125,Tata Consultancy Services,TCS.NS
2025-03-27 00:00:00+05:30,3614.85009765625,3663.0,3610.5,3651.199951171875,Tata Consultancy Services,TCS.NS
2025-03-28 00:00:00+05:30,3651.0,3660.949951171875,3591.89990234375,3606.14990234375,Tata Consultancy Services,TCS.NS
2025-04-01 00:00:00+05:30,3572.699951171875,3584.0,3525.0,3550.800048828125,Tata Consultancy Services,TCS.NS
2025-04-02 00:00:00+05:30,3544.0,3564.10009765625,3530.050048828125,3543.949951171875,Tata Consultancy Services,TCS.NS
2025-04-03 00:00:00+05:30,3491.0,3502.0,3396.14990234375,3403.14990234375,Tata Consultancy Services,TCS.NS
2025-04-04 00:00:00+05:30,3362.60009765625,3399.64990234375,3295.5,3299.39990234375,Tata Consultancy Services,TCS.NS
2025-04-07 00:00:00+05:30,3100.0,3291.39990234375,3056.050048828125,3274.050048828125,Tata Consultancy Services,TCS.NS
2025-04-08 00:00:00+05:30,3302.050048828125,3349.0,3255.300048828125,3292.949951171875,Tata Consultancy Services,TCS.NS
2025-04-09 00:00:00+05:30,3260.550048828125,3270.0,3212.050048828125,3246.60009765625,Tata Consultancy Services,TCS.NS
2025-04-11 00:00:00+05:30,3289.550048828125,3298.949951171875,3206.0,3231.5,Tata Consultancy Services,TCS.NS
2025-04-15 00:00:00+05:30,3314.39990234375,3314.39990234375,3238.60009765625,3248.199951171875,Tata Consultancy Services,TCS.NS
2025-04-16 00:00:00+05:30,3248.199951171875,3278.10009765625,3229.0,3273.800048828125,Tata Consultancy Services,TCS.NS
2025-03-18 00:00:00+05:30,1590.050048828125,1590.050048828125,1590.050048828125,1590.050048828125,Infosys,INFY.NS
2025-03-19 00:00:00+05:30,1603.0,1603.0,1572.800048828125,1586.550048828125,Infosys,INFY.NS
2025-03-20 00:00:00+05:30,1592.0,1631.9000244140625,1592.0,1615.550048828125,Infosys,INFY.NS
2025-03-21 00:00:00+05:30,1577.949951171875,1603.9000244140625,1563.6500244140625,1592.550048828125,Infosys,INFY.NS
2025-03-24 00:00:00+05:30,1597.949951171875,1607.0999755859375,1572.699951171875,1592.75,Infosys,INFY.NS
2025-03-25 00:00:00+05:30,1605.0,1636.1500244140625,1605.0,1628.449951171875,Infosys,INFY.NS
